Sr no.,File name,Query,Response,Summary,,,,,,,,
78,c2275209.wav,Internal discussion about case IDs and margin queries for investors.,Staff reviews case details and clarifies margin issue timeline.,Internal process for margin query resolution.,,,,,,,,
79,c2275246.wav,Caller reports Upstox account not showing holdings.,NSE staff advises contacting Upstox support for portfolio update issues.,Caller is guided to broker for portfolio update and support.,,,,,,,,
80,c2275247.wav,Caller asks if NSE has official Telegram group after being scammed.,"NSE staff confirms no official Telegram group, advises filing cybercrime complaint, and offers to report incident internally.",Caller is warned about Telegram scams and guided to file cybercrime complaint.,,,,,,,,
81,c2275248.wav,Caller forgets ID and password for Sharekhan account and seeks help.,NSE staff advises contacting Sharekhan customer support for account recovery.,Caller is guided to broker for account recovery assistance.,,,,,,,,
82,c2275260.wav,Internal discussion about service platform issues and ticketing delays.,Staff confirms ongoing service issues and coordinates with sub-department.,Internal troubleshooting for service platform delays.,,,,,,,,
83,c2275261.wav,Caller wants to close AngelOnePay account due to negative balance and seeks process.,"NSE staff explains closure process, advises contacting broker, and clarifies negative balance must be cleared before closure.",Caller is guided to broker for account closure and negative balance resolution.,,,,,,,,
84,c2275269.wav,Internal discussion about new unit access and training requirements.,Staff coordinates training and user manual distribution for new unit.,Internal process for new unit training and access.,,,,,,,,
85,c2275292.wav,Internal greeting and brief check-in.,No response recorded.,"Internal greeting, no actionable content.",,,,,,,,
86,c2275306.wav,Caller inquires about payment release for KokenSmart claim and process delays.,"NSE staff explains claim is pending due to court case, advises waiting for update, and suggests mailing default team for alternatives.",Caller is informed about claim status and advised to wait for court update.,,,,,,,,
87,c2275317.wav,Caller reports fraud via Telegram work-from-home scheme and seeks confirmation.,"NSE staff confirms such activities are fraud, advises filing cybercrime complaint, and provides relevant portals.",Caller is warned about Telegram fraud and guided to file cybercrime complaint.,,,,,,,,
88,c2275320.wav,"Caller sold mutual funds but has not received payment, seeks help.","NSE staff explains only broker can provide status, advises contacting IIFL support for resolution.",Caller is guided to broker for mutual fund redemption status.,,,,,,,,
89,c2275348.wav,Member from Uttar Securities reports UPI status invalid and seeks update on pending case.,"NSE staff checks case, confirms mail received, and advises waiting for team response.",Member is advised to wait for team response on UPI status case.,,,,,,,,
90,c2275355.wav,Member from ISF Securities inquires about name and constitution change approval timeline.,"NSE staff checks with team, explains process is based on queue and proof validation, and advises waiting for update.",Member is guided on name change process and advised to wait for approval.,,,,,,,,
91,c2275364.wav,Internal discussion about investor MLID and number discrepancies.,Staff coordinates with investor to resolve MLID and number mismatch.,Internal process for resolving investor data discrepancies.,,,,,,,,
92,c2275371.wav,Caller asks about Siemens share split and circular details.,NSE staff advises contacting broker or company RTA for circular and share split information.,Caller is guided to broker and RTA for share split clarification.,,,,,,,,
93,c2275402.wav,Caller closed ICICI Demat account but continues to receive NSE messages.,NSE staff advises contacting broker to confirm closure and remove from database.,Caller is guided to broker for account closure confirmation and message cessation.,,,,,,,,
94,c2275415.wav,Caller asks about NSE registration number for Kotak Neo account.,"NSE staff explains investors do not have NSE numbers, only brokers do, and advises using client ID and DP ID.",Caller is informed about account identification and NSE number clarification.,,,,,,,,
95,c2275430.wav,Caller follows up on arbitration case and lack of response from case manager.,NSE staff advises waiting for 21-day period and contacting Smart ODR portal for updates.,Caller is guided to wait for arbitration response and contact Smart ODR if needed.,,,,,,,,
96,c2275448.wav,Internal discussion about Smart ODR case handling and legal team coordination.,Staff reviews case status and discusses legal process for case closure.,Internal process for Smart ODR and legal case management.,,,,,,,,
97,c2275457.wav,Caller asks about paying annual maintenance charges (AMC) for Demat account.,NSE staff advises contacting broker for AMC payment process and provides guidance on support lines.,Caller is guided to broker for AMC payment and support.,,,,,,,,
98,c2275467.wav,Caller receives NSE Alert emails for access securities account not opened by them.,"NSE staff explains process for checking and closing account, advises contacting access securities and depository.",Caller is guided to contact broker and depository for account closure and verification.,,,,,,,,
99,c2275471.wav,Caller wants to know how many trading accounts are active and how to check.,NSE staff advises contacting depository (NSDL/CDSL) with PAN card for account verification.,Caller is guided to depository for active account verification.,,,,,,,,
100,c2275479.wav,"Caller reports Arihant Capital account blocked after KYC, seeks reactivation timeline.","NSE staff explains KYC processing time, advises contacting broker for follow-up, and clarifies process for account reactivation.",Caller is guided on KYC process and broker follow-up for account reactivation. 101,c2275487.wav,Caller reports Upstox terminated sub-brokership without intimation and seeks complaint process.,NSE staff advises using Smart ODR portal for complaint and explains resolution timeline.,Caller is guided to file complaint via Smart ODR for sub-brokership termination.,,,,
102,c2275497.wav,Caller requests to call back later.,No response recorded.,"Caller requests callback, no actionable content.",,,,,,,,
103,c2275499.wav,Member from Treadmill Securities inquires about FATF submission due date.,"NSE staff checks details, provides inspection department email for guidance.",Member is guided to contact inspection department for FATF submission queries.,,,,,,,,
104,c2275505.wav,Caller reports Cisco RITM ticket issue and service platform downtime.,Staff confirms service downtime and advises checking ticket status after restoration.,Caller is advised to check ticket status after service restoration.,,,,,,,,
105,c2275519.wav,Caller asks about Kotak Securities account in default and opening new account after mediation.,NSE staff explains process for opening new account and advises contacting broker for settlement and closure.,Caller is guided on account status and broker contact for settlement.,,,,,,,,
106,c2275529.wav,Internal discussion about case assignment and follow-up with Ketan.,Staff coordinates with Ketan for case response.,Internal process for case assignment and follow-up.,,,,,,,,
107,c2275533.wav,Internal discussion about service platform issues and case creation.,Staff advises waiting for issue resolution before creating new case.,Internal process for case creation during service issues.,,,,,,,,
108,c2275534.wav,Internal discussion about VMWare NSX issue and service platform troubleshooting.,Staff coordinates with Mandar for issue resolution and advises waiting for fix.,Internal troubleshooting for VMWare NSX and service platform issues.,,,,,,,,
109,c2275554.wav,"Internal discussion about investor query on FIA and trade, and team assignment.",Staff clarifies team responsibilities and directs query to MSM or trade team.,Internal process for team assignment and query resolution.,,,,,,,,
110,c2275558.wav,Caller seeks to claim shares from Karvy and faces issues with Nice Plus portal and duplicate PAN error.,NSE staff advises using email process for claim and provides guidance on dematerializing physical shares.,Caller is guided on claim process and dematerialization of physical shares.,,,,,,,,
111,c2275570.wav,Internal discussion about Bhairavi ma'am's availability and privacy error in connection.,Staff coordinates with business team and highlights privacy error issue.,Internal process for resolving privacy error and team coordination.,,,,,,,,
112,c2275605.wav,Caller seeks reimbursement for BM Health Creation default claim and is asked for additional documents.,"NSE staff requests bank and ledger statements, explains manual ledger option if account is closed.",Caller is guided to provide additional documents for claim reimbursement.,,,,,,,,
113,c2275607.wav,Caller wants to close ATS Share Brokers Demat account with negative balance.,NSE staff explains negative balance must be cleared before closure and advises contacting broker for payment process.,Caller is guided to broker for negative balance payment and account closure.,,,,,,,,
114,c2275608.wav,Caller faces duplicate PAN error in Nice Plus portal for Karvy claim.,NSE staff advises emailing screenshot to default ISC and confirms process for claim support.,Caller is guided to email support for duplicate PAN error in claim process.,,,,,,,,
115,c2275616.wav,Caller seeks RTA contact for Surya Roshni shares transferred to IEPF.,NSE staff guides caller to search RTA contact via Google and provides process for contacting RTA.,Caller is guided to find RTA contact for IEPF claim process.,,,,,,,,
116,c2275623.wav,Caller seeks help with fraud investment via social media and has difficulty filing cybercrime complaint.,"NSE staff explains only cybercrime can help, advises clearing browser cache and provides contact number.",Caller is guided to cybercrime portal and troubleshooting for complaint filing.,,,,,,,,
117,c2275626.wav,Member from Spark Starg inquires about CDSL PMS Pool Demand account opening and concern department contact.,"NSE staff checks with team, provides inspection department email for pool account queries.",Member is guided to inspection department for pool account opening process.,,,,,,,,
118,c2275637.wav,Caller reports loss due to broker's advice and seeks complaint process for unauthorized trade.,NSE staff explains complaint process via SEBI SCORES portal and guides on documentation and meeting process.,Caller is guided to file complaint via SEBI SCORES for unauthorized trade.,,,,,,,,
119,c2275650.wav,Member requests support for margin utilization spam files and file download path.,NSE staff checks with clearing department and advises member to follow up for file access.,Member is guided to clearing department for margin file access support.,,,,,,,,
120,c2275655.wav,Caller receives PDF from NSE and asks about password to open it.,NSE staff explains password is PAN card number in capital letters.,Caller is guided to use PAN card number as PDF password.,,,,,,,,
121,c2275658.wav,Caller asks if DDPI is mandatory and reports OTP issues for share sale.,"NSE staff explains DDPI is optional, advises checking broker's update of contact details, and clarifies T PIN process.","Caller is guided on DDPI, T PIN, and broker contact for OTP issues.",,,,,,,,
122,c2275697.wav,Member inquires about pro account status after closure and reactivation process.,"NSE staff explains process for reactivation, advises providing mail presentation on precautions, and clarifies status codes.",Member is guided on pro account reactivation and required documentation.,,,,,,,,
123,c2275737.wav,Caller seeks refund of surveillance margin for Coffee Day shares and asks about exchange norms.,"NSE staff explains only broker can assist, advises requesting written confirmation and follow-up for exchange norms.",Caller is guided to broker for surveillance margin refund and exchange norms.,,,,,,,,
124,c2275752.wav,Member from Bachchanai Investment reports client order rejection due to invalid PAN and inactive status.,"NSE staff advises checking name details, sending UCC code via email, and consulting IT statement for verification.",Member is guided to verify PAN details and contact UCI department for resolution.,,,,,,,,
125,c2275778.wav,Caller inquires about DB Oil share trading suspension and periodic call auction process.,NSE staff explains periodic call auction windows and advises checking order timing for successful trades.,Caller is guided on periodic call auction process and trading windows. 126,c2275834.wav,Caller inquires about claim status against Tarvi and discusses implementation letter details.,"NSE staff verifies claim details, explains fund allocation and asset distribution process, and advises checking implementation letter for complete information.","Caller receives guidance on claim status, fund allocation, and next steps regarding implementation letter.",,,,
127,c2275861.wav,Caller inquires about NSE Alert emails regarding security balance and fund notifications.,"NSE staff explains alerts are due to Demat account opening, clarifies purpose of security notifications, and guides on account closure options.",Caller is informed about NSE Alert system and options for managing Demat account notifications.,,,,,,,,
128,c2275867.wav,Caller seeks guidance on closing Demat account after receiving NSE alerts.,NSE staff guides caller to check broker name in email and contact broker's customer support for account closure process.,Caller is directed to contact broker for Demat account closure procedure.,,,,,,,,
129,c2275868.wav,Caller reports discrepancy in trading account opening date showing 2020 instead of 2025.,NSE staff advises contacting broker for date discrepancy resolution as broker maintains account details.,Caller is guided to contact broker regarding account opening date discrepancy.,,,,,,,,
130,c2275876.wav,Caller inquires about accessing account details from 2021 and understanding regular email notifications.,"NSE staff explains how to find unique client code and broker details in PDF, advises contacting broker for account information.",Caller is guided to locate account information and contact broker for details.,,,,,,,,
131,c2275878.wav,Caller discusses Karvy issue and pending litigation regarding shares.,"NSE staff checks claim reference, explains litigation status, and advises waiting for department update.",Caller receives update on shares under litigation and claim process status.,,,,,,,,
132,c2275900.wav,Caller follows up on arbitration status and seeks to connect with specific NSE staff.,NSE staff coordinates with senior team members regarding arbitration case follow-up and communication.,Caller's arbitration case status is escalated to relevant department for follow-up.,,,,,,,,
133,c2275906.wav,Former Upstox AP inquires about NSE registration status after franchise termination.,NSE staff explains process for verification and suggests filing complaint through Smart ODR if needed.,Caller is guided on checking registration status and complaint options after AP termination.,,,,,,,,
134,c2275917.wav,Internal discussion about Cisco login and service now pop-up verification.,Staff coordinates to check pop-up functionality for all users.,Internal system functionality verification process.,,,,,,,,
135,c2275933.wav,Internal discussion about break schedule and DL group communication.,Staff discusses break schedule management and communication protocols.,Internal coordination of break schedules and communication.,,,,,,,,
136,c2275936.wav,Test call to verify ServiceNow popup functionality.,Staff verifies popup display and number visibility in system.,System functionality test for ServiceNow integration.,,,,,,,,
137,c2275958.wav,Internal discussion about service downtime documentation.,Staff discusses SLA impact and documentation requirements for system downtime.,Internal process discussion for downtime documentation.,,,,,,,,
138,c2275960.wav,Brief internal query about service documentation requirements.,Staff discusses documentation needs for service issues.,Internal clarification of documentation procedures.,,,,,,,,
139,c2275971.wav,Caller inquires about deceased brother's NSE Sensex investments.,NSE staff guides caller to contact AngelOne broker for account access and transfer process.,Caller is directed to broker for deceased investor's account management.,,,,,,,,
140,c2275973.wav,Caller from Trust Group inquires about multiple UCC creation for non-individual clients.,NSE staff provides circular reference and guidance on UCC creation process.,Caller receives guidance on UCC creation policies for non-individual clients.,,,,,,,,
141,c2275977.wav,Caller seeks clarification on deductible amount in Karvy claim settlement.,"NSE staff explains claim amount calculations, asset allocation process, and implementation letter details.",Caller receives detailed explanation of claim settlement and fund allocation process.,,,,,,,,
142,c2275979.wav,Internal discussion about break management and call monitoring.,Staff coordinates break schedule and confirms no abandoned calls.,Internal break schedule and call monitoring coordination.,,,,,,,,
143,c2275985.wav,Caller seeks to connect with NSE Self Helpdesk regarding Siemens contract expiry issue.,NSE staff verifies case ID and explains process for further discussion of concerns.,Caller is guided on following up regarding contract expiry concerns.,,,,,,,,
144,c2275989.wav,Caller requests to speak with specific NSE staff member about ongoing case.,NSE staff checks availability and arranges for return call.,Caller's request for specific staff contact is coordinated.,,,,,,,,
145,c2275995.wav,Caller from Trade Bull Securities follows up on FATF submission query.,NSE staff provides correct email format for FATF submission correspondence.,Caller receives correct contact information for FATF submission.,,,,,,,,
146,c2276001.wav,Unclear query about guest payments.,NSE staff attempts to clarify caller's concern but receives unclear response.,Incomplete interaction due to unclear communication.,,,,,,,,
147,c2276004.wav,Caller seeks help with NSE Alert email PDF password.,NSE staff explains PAN number usage as password in capital letters.,Caller is guided on accessing NSE Alert PDF using PAN number.,,,,,,,,
148,c2276041.wav,Internal discussion about case handling and response protocol.,Staff discusses case closure and communication procedures.,Internal coordination on case management procedures.,,,,,,,,
149,c2276068.wav,Caller reports unauthorized access attempts on inactive Upstox account.,NSE staff guides caller on account closure process and contacting broker through official channels.,Caller receives guidance on securing inactive account and proper broker contact methods.,,,,,,,,
150,c2276079.wav,Internal discussion about RITM ticket and incident creation process.,Staff guides colleague on proper incident creation procedure after RITM closure.,Internal guidance on proper ticket management procedures. 151,c2276081.wav,Caller seeks help with Karvy claim process and login issues with NICE Plus portal.,"NSE staff explains claim filing process via email, provides correct email address, and guides on required documents including PAN card and bank statement.",Caller receives guidance on claim filing process and documentation requirements.,,,,
152,c2276092.wav,Caller reports Cisco login issues on new system installation.,NSE staff advises coordinating with voice team and provides guidance on ticket raising process.,Caller is directed to voice team for Cisco system login resolution.,,,,,,,,
